Hair_Color,Race,Text,Pictures,Age,Miles_Away,Shared_Interest,Overweight,Liked_You
Black,White,Y,5,23,Close,0,N,N
Blonde,White,N,4,23,Close,1,N,N
Black,Other,Y,4,28,Close,4,N,N
Blonde,White,Y,5,23,Close,0,N,N
Blonde,White,N,4,21,Close,1,N,N
Brunette,White,Y,6,23,Close,0,N,N
Black,White,N,4,22,Close,1,N,N
Blonde,White,Y,6,25,Close,2,Y,N
Brunette,White,Y,6,21,Far,0,N,N
Blonde,White,Y,5,31,Far,0,N,N
Brunette,White,Y,3,24,Close,0,N,N
Brunette,White,N,6,30,Close,0,Y,N
Blonde,White,Y,6,26,Close,2,N,N
Brunette,White,Y,6,31,Close,3,N,N
Brunette,White,N,6,23,Close,0,N,N
Brunette,White,Y,6,28,Far,0,Y,N
Black,Other,N,4,23,Close,0,N,N
Blonde,White,N,6,24,Close,0,N,N
Brunette,White,Y,3,49,Close,0,Y,Y
Brunette,White,N,5,30,Far,0,Y,Y
Brunette,White,N,6,27,Far,1,N,Y
Brunette,White,Y,6,26,Far,1,N,Y
Blonde,White,Y,5,19,Far,0,Y,Y
Brunette,White,Y,6,22,Close,1,N,Y
Brunette,White,N,3,22,Close,0,N,Y
Brunette,White,N,3,18,Close,0,N,Y
Brunette,White,Y,6,33,Close,0,N,Y
Blonde,White,Y,3,23,Close,0,N,Y
Black,Other,Y,4,24,Far,2,Y,Y
Brunette,White,N,5,21,Far,1,N,Y
Brunette,White,Y,4,24,Close,0,N,Y
Black,White,Y,6,21,Far,0,N,Y
Brunette,White,Y,5,29,Close,0,N,Y
Brunette,White,Y,4,19,Far,2,N,Y
Blonde,White,Y,5,21,Close,0,N,Y
Blonde,White,Y,4,34,Close,0,N,Y
Brunette,White,Y,5,22,Close,0,N,Y
Black,Black,Y,3,19,Close,0,N,Y
Brunette,White,N,5,22,Close,0,N,N
Black,White,Y,4,19,Close,0,N,N
Black,Black,Y,5,27,Close,3,N,N
Blonde,White,N,5,22,Far,0,N,N
Brunette,White,Y,4,18,Close,0,N,N
Black,White,Y,5,22,Far,0,N,N
Brunette,White,Y,6,21,Far,0,N,N
Brunette,White,Y,6,25,Close,0,N,N
Brunette,White,Y,6,23,Far,0,N,N
Brunette,White,Y,6,24,Close,0,N,N
Blonde,White,N,6,30,Close,1,N,N
Blonde,White,Y,6,25,Far,0,N,N
Black,White,Y,5,23,Close,0,N,N
Blonde,White,N,4,23,Close,1,N,N
Black,Other,Y,4,28,Close,4,N,N
Blonde,White,Y,5,23,Close,0,N,N
Blonde,White,N,4,21,Close,1,N,N
Brunette,White,Y,6,23,Close,0,N,N
Black,White,N,4,22,Close,1,N,N
Blonde,White,Y,6,25,Close,2,Y,N
Brunette,White,Y,6,21,Far,0,N,N
Blonde,White,Y,5,31,Far,0,N,N
Brunette,White,Y,3,24,Close,0,N,N
Brunette,White,N,6,30,Close,0,Y,N
Blonde,White,Y,6,26,Close,2,N,N
Brunette,White,Y,6,31,Close,3,N,N
Brunette,White,N,6,23,Close,0,N,N
Brunette,White,Y,6,28,Far,0,Y,N
Black,Other,N,4,23,Close,0,N,N
Blonde,White,N,6,24,Close,0,N,N
Brunette,White,Y,3,49,Close,0,Y,Y
Brunette,White,N,5,30,Far,0,Y,Y
Brunette,White,N,6,27,Far,1,N,Y
Brunette,White,Y,6,26,Far,1,N,Y
Blonde,White,Y,5,19,Far,0,Y,Y
Brunette,White,Y,6,22,Close,1,N,Y
Brunette,White,N,3,22,Close,0,N,Y
Brunette,White,N,3,18,Close,0,N,Y
Brunette,White,Y,6,33,Close,0,N,Y
Blonde,White,Y,3,23,Close,0,N,Y
Black,Other,Y,4,24,Far,2,Y,Y
Brunette,White,N,5,21,Far,1,N,Y
Brunette,White,Y,4,24,Close,0,N,Y
Black,White,Y,6,21,Far,0,N,Y
Brunette,White,Y,5,29,Close,0,N,Y
Brunette,White,Y,4,19,Far,2,N,Y
Blonde,White,Y,5,21,Close,0,N,Y
Blonde,White,Y,4,34,Close,0,N,Y
Brunette,White,Y,5,22,Close,0,N,Y
Black,Black,Y,3,19,Close,0,N,Y
Brunette,White,N,5,22,Close,0,N,N
Black,White,Y,4,19,Close,0,N,N
Black,Black,Y,5,27,Close,3,N,N
Blonde,White,N,5,22,Far,0,N,N
Brunette,White,Y,4,18,Close,0,N,N
Black,White,Y,5,22,Far,0,N,N
Brunette,White,Y,6,21,Far,0,N,N
Brunette,White,Y,6,25,Close,0,N,N
Brunette,White,Y,6,23,Far,0,N,N
Brunette,White,Y,6,24,Close,0,N,N
Blonde,White,N,6,30,Close,1,N,N
Blonde,White,Y,6,25,Far,0,N,N
